audio,text,speaker_id,gender_name,duration_seconds,rms,peak
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00000.wav,"पाठक चाहें, तो इन निबंधों को, तीन एक दो के मूल क्रम में पढ़ सकते हैं",0,female,5.0042,0.153162,0.796112
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00001.wav,"शाखा ने, ज़ुल्म ढहाने के लिये, इस दुधमुंही को, इसके हवाले कैसे कर दिया",0,female,6.0136,0.147288,0.799561
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00002.wav,"क्या करूं, वक्त ही ऐसा आन पड़ा है, कि कुछ भी सहज सरल नहीं रह गया है",0,female,4.816,0.113527,0.797913
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00003.wav,"शहनाई में मींड़ भरने की यह दिव्यता, उनकी कला यात्रा का सबसे प्रमुख बिन्दु बन गयी है",0,female,6.5945,0.176437,0.79364
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00004.wav,"शाखा को लगा, कि दोनों के मन के बीच, जैसे कोई टेलीपैथी हो गयी",0,female,5.748,0.12939,0.793243
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00005.wav,"प्रेम में उस अनसुनी आवाज़ को, जो बोलना नहीं जानती, गुलज़ार बखूबी सुन पाये हैं",0,female,6.2232,0.153875,0.796265
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00006.wav,"मुझे वापस चल कर देखना चाहिए, लेकिन, यह क्या, मैं तो ये सब सोचता, सोचता इतनी दूर निकल आया हूं",0,female,7.2998,0.126383,0.797668
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00007.wav,"पत्नी, कुछ दिन के लिए तन्दूर पर नही गई थी, तबीयत खराब हो आई थी",0,female,5.0233,0.146406,0.794342
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00008.wav,"फिर, वह कुछ घुड़सवारों, व स्थल सेना को लेकर, दलनायक के पास, आ पहुँचा",0,female,5.8001,0.130359,0.797699
/kaggle/working/hindi-csm-tts/female_specialization/audio_24khz/female_00009.wav,"गंगा ने बड़े ही आतुरताभरे स्वर में पूछा, कहीं इनके दिमाग़ को, चोट तो नहीं लगी",0,female,7.3028,0.144355,0.794556
